Sorter0,,Sorter1,,
ArrayLength,Runtime,ArrayLength,Runtime,
1,1.2919999790028669E-6,1,1.2089999472664203E-6,
51,3.387499964446761E-5,51,2.4169999051082414E-6,
101,1.2062500172760338E-4,101,3.874999947584001E-6,
151,2.630419912748039E-4,151,5.417000011220807E-6,
201,4.354999982751906E-4,201,6.708000000799075E-6,
251,6.752919871360064E-4,251,9.041000339493621E-6,
301,2.4333299370482564E-4,301,1.4166999790177215E-5,
351,2.744999947026372E-4,351,1.1166999684064649E-5,
401,3.539170138537884E-4,401,1.2790999790013302E-5,
451,4.479580093175173E-4,451,1.4041999747860245E-5,
501,5.450000171549618E-4,501,1.554200025566388E-5,
551,6.982089835219085E-4,551,3.254100010963157E-5,
601,7.784159970469773E-4,601,1.766700006555766E-5,
651,9.2224997933954E-4,651,1.995899947360158E-5,
701,0.003329457947984338,701,2.2250000256462954E-5,
751,0.0012060420121997595,751,2.2541000362252817E-5,
801,0.0014338749460875988,801,2.458400012983475E-5,
851,0.007468624971807003,851,2.554099955887068E-5,
901,8.318750187754631E-4,901,3.0290999347926117E-5,
951,6.141670164652169E-4,951,2.8667000151472166E-5,
1001,6.830840138718486E-4,1001,3.429199932725169E-5,
1051,7.333329995162785E-4,1051,3.087499862886034E-5,
1101,7.777920109219849E-4,1101,3.2208001357503235E-5,
1151,8.431249880231917E-4,1151,3.316700167488307E-5,
1201,9.438749984838068E-4,1201,3.566699888324365E-5,
1251,0.0010187500156462193,1251,3.5000000934815034E-5,
1301,6.762500270269811E-4,1301,3.4500000765547156E-5,
1351,7.141249952837825E-4,1351,3.574999936972745E-5,
1401,7.65874981880188E-4,1401,3.737500082934275E-5,
1451,8.180830045603216E-4,1451,3.908299913746305E-5,
1501,8.968330221250653E-4,1501,4.479199924389832E-5,
1551,9.610829874873161E-4,1551,4.587500006891787E-5,
1601,0.0010165419662371278,1601,4.429199907463044E-5,
1651,0.0010795840062201023,1651,4.600000102072954E-5,
1701,0.0011495420476421714,1701,4.774999979417771E-5,
1751,0.0012071250239387155,1751,4.804199852515012E-5,
1801,0.0012797090457752347,1801,5.0916001782752573E-5,
1851,0.001343333045952022,1851,4.887500108452514E-5,
1901,0.0014281660551205277,1901,5.512500138138421E-5,
1951,0.001491667004302144,1951,5.379099820856936E-5,
2001,0.0016047919634729624,2001,5.574999886448495E-5,
2051,0.0016505829989910126,2051,5.616699854726903E-5,
2101,0.001753416028805077,2101,6.345799920381978E-5,
2151,0.00177650002297014,2151,6.329100142465904E-5,
2201,0.0018847920000553131,2201,6.262499664444476E-5,
2251,0.001978917047381401,2251,6.312500045169145E-5,
2301,0.002053665928542614,2301,6.38330020592548E-5,
2351,0.0021407920867204666,2351,6.437500269385055E-5,
2401,0.002234624931588769,2401,6.712500180583447E-5,
2451,0.002334791934117675,2451,7.100000220816582E-5,
2501,0.002411042107269168,2501,4.9541999032953754E-5,
2551,0.0025413751136511564,2551,2.5334000383736566E-5,
2601,0.0025828341022133827,2601,1.904199962154962E-5,
2651,0.0027284580282866955,2651,2.1874999220017344E-5,
2701,0.002807083074003458,2701,1.9999999494757503E-5,
2751,0.0029490420129150152,2751,2.0834000679315068E-5,
2801,0.003031207947060466,2801,2.2166999769979157E-5,
2851,0.0030988750513643026,2851,2.1750000087195076E-5,
2901,0.0032040830701589584,2901,2.154100002371706E-5,
2951,0.0033303750678896904,2951,2.5499999537714757E-5,
3001,0.0033287499099969864,3001,2.0416999177541584E-5,
3051,0.0033626670483499765,3051,2.1208999896771275E-5,
3101,0.0035953749902546406,3101,2.325000059499871E-5,
3151,0.00380704109556973,3151,2.4416000087512657E-5,
3201,0.003980624955147505,3201,3.7000001611886546E-5,
3251,0.004041166976094246,3251,2.5332999939564615E-5,
3301,0.004202332813292742,3301,4.845800140174106E-5,
3351,0.004343499895185232,3351,6.374999884428689E-6,
3401,0.004244416020810604,3401,3.375000005689799E-6,
3451,0.004543375223875046,3451,4.916999841952929E-6,
3501,0.0046607498079538345,3501,4.707999778474914E-6,
3551,0.004815916996449232,3551,5.625000085274223E-6,
3601,0.004941334016621113,3601,5.500000042957254E-6,
3651,0.005016999784857035,3651,4.12500003221794E-6,
3701,0.00495883310213685,3701,4.292000085115433E-6,
3751,0.005317083094269037,3751,4.667000212066341E-6,
3801,0.00532899983227253,3801,5.709000106435269E-6,
3851,0.005663374904543161,3851,1.0208000276179519E-5,
3901,0.005509375128895044,3901,4.042000000481494E-6,
3951,0.005905542057007551,3951,6.290999863267643E-6,
4001,0.00613420782610774,4001,6.083999778638827E-6,
4051,0.006126666907221079,4051,5.791000148747116E-6,
4101,0.0063236248679459095,4101,6.040999778633704E-6,
4151,0.006559417117387056,4151,6.24999984211172E-6,
4201,0.006581542082130909,4201,7.16600015948643E-6,
4251,0.006800292059779167,4251,5.750000127591193E-6,
4301,0.006977874785661697,4301,5.667000095854746E-6,
4351,0.007162041030824184,4351,5.709000106435269E-6,
4401,0.007242416962981224,4401,7.125000138330506E-6,
4451,0.0074905832298099995,4451,5.666000106430147E-6,
4501,0.0073447502218186855,4501,5.041999884269899E-6,
4551,0.007632375229150057,4551,6.374999884428689E-6,
4601,0.00796983391046524,4601,5.875000169908162E-6,
4651,0.008135166019201279,4651,5.875000169908162E-6,
4701,0.008311583660542965,4701,5.916000191064086E-6,
4751,0.008504667319357395,4751,6.12499979979475E-6,
4801,0.008688749745488167,4801,6.624999969062628E-6,
4851,0.008879125118255615,4851,6.374999884428689E-6,
4901,0.009073291905224323,4901,7.457999799953541E-6,
4951,0.00917499978095293,4951,6.042000222805655E-6,
5001,0.009262832812964916,5001,6.000000212225132E-6,
5051,0.009074665606021881,5051,5.875000169908162E-6,
5101,0.009625500068068504,5101,6.042000222805655E-6,
5151,0.009811083786189556,5151,6.12499979979475E-6,
5201,0.010193250142037868,5201,6.875000053696567E-6,
5251,0.010072791948914528,5251,7.58299984227051E-6,
5301,0.010397542268037796,5301,5.917000180488685E-6,
5351,0.01056700013577938,5351,5.332999990059761E-6,
5401,0.01067283283919096,5401,5.165999937162269E-6,
5451,0.010665208101272583,5451,5.249999958323315E-6,
5501,0.010870290920138359,5501,5.249999958323315E-6,
5551,0.011106208898127079,5551,5.291999968903838E-6,
5601,0.011427500285208225,5601,5.375000000640284E-6,
5651,0.01157983299344778,5651,5.416000021796208E-6,
5701,0.012051833793520927,5701,7.70800033933483E-6,
5751,0.012850333005189896,5751,7.125000138330506E-6,
5801,0.013073332607746124,5801,1.0665999980119523E-5,
5851,0.013004125095903873,5851,7.04200010659406E-6,
5901,0.01298158336430788,5901,6.750000011379598E-6,
5951,0.013537250459194183,5951,6.91700006427709E-6,
6001,0.013683291152119637,6001,1.1875000382133294E-5,
6051,0.014161624945700169,6051,7.667000318178907E-6,
6101,0.014334583654999733,6101,7.04200010659406E-6,
6151,0.014576916582882404,6151,7.749999895168003E-6,
6201,0.014621165581047535,6201,6.666999979643151E-6,
6251,0.014832166023552418,6251,6.91700006427709E-6,
6301,0.015067124739289284,6301,6.708999990223674E-6,
6351,0.015270291827619076,6351,7.250000180647476E-6,
6401,0.015509959310293198,6401,1.541600067866966E-5,
6451,0.01621749997138977,6451,7.415999789373018E-6,
6501,0.016312750056385994,6501,8.25000006443588E-6,
6551,0.016289375722408295,6551,7.208000170066953E-6,
6601,0.01677870750427246,6601,7.833999916329049E-6,
6651,0.0167717095464468,6651,7.915999958640896E-6,
6701,0.017259415239095688,6701,7.499999810534064E-6,
6751,0.01733320765197277,6751,6.958000085433014E-6,
6801,0.017657332122325897,6801,7.416999778797617E-6,
6851,0.017966624349355698,6851,7.250000180647476E-6,
6901,0.01975608430802822,6901,7.04200010659406E-6,
6951,0.018587959930300713,6951,7.958999958646018E-6,
7001,0.018770458176732063,7001,8.042000445129815E-6,
7051,0.0191638320684433,7051,7.333000212383922E-6,
7101,0.01928558386862278,7101,7.95800042396877E-6,
7151,0.01984870806336403,7151,8.082999556791037E-6,
7201,0.01993662491440773,7201,8.459000127913896E-6,
7251,0.020548123866319656,7251,9.583000064594671E-6,
7301,0.022948667407035828,7301,8.332999641424976E-6,
7351,0.020452333614230156,7351,7.749999895168003E-6,
7401,0.021026168018579483,7401,7.70800033933483E-6,
7451,0.021222375333309174,7451,7.58399983169511E-6,
7501,0.02163125015795231,7501,7.333000212383922E-6,
7551,0.022264331579208374,7551,7.624999852851033E-6,
7601,0.022090792655944824,7601,8.37500010675285E-6,
7651,0.02283070795238018,7651,8.750000233703759E-6,
7701,0.023066500201821327,7701,1.1250000170548446E-5,
7751,0.023219749331474304,7751,9.04199987417087E-6,
7801,0.026004334911704063,7801,9.250000402971637E-6,
7851,0.02379624918103218,7851,8.041000000957865E-6,
7901,0.02420208416879177,7901,8.166999577952083E-6,
7951,0.02436429262161255,7951,8.291999620269053E-6,
8001,0.02781466580927372,8001,8.832999810692854E-6,
8051,0.025138791650533676,8051,9.291999958804809E-6,
8101,0.025309624150395393,8101,9.04199987417087E-6,
8151,0.025393832474946976,8151,9.250000402971637E-6,
8201,0.02556404285132885,8201,9.417000001121778E-6,
8251,0.026525791734457016,8251,9.000000318337698E-6,
8301,0.026665667071938515,8301,8.582999726058915E-6,
8351,0.02704966813325882,8351,8.707999768375885E-6,
8401,0.02680862322449684,8401,8.709000212547835E-6,
8451,0.027843331918120384,8451,9.542000043438748E-6,
8501,0.028322292491793633,8501,1.0208999810856767E-5,
8551,0.028539499267935753,8551,1.0083999768539798E-5,
8601,0.029009876772761345,8601,1.0167000255023595E-5,
8651,0.028885958716273308,8651,8.957999853009824E-6,
8701,0.030682332813739777,8701,9.209000381815713E-6,
8751,0.029782500118017197,8751,9.458000022277702E-6,
8801,0.030428791418671608,8801,9.958999726222828E-6,
8851,0.030451083555817604,8851,1.0167000255023595E-5,
8901,0.03143083304166794,8901,1.0458000360813458E-5,
8951,0.03139675036072731,8951,1.0458000360813458E-5,
9001,0.0316445417702198,9001,9.874999705061782E-6,
9051,0.0320824570953846,9051,9.792000128072686E-6,
9101,0.032515957951545715,9101,1.037499987432966E-5,
9151,0.03291837498545647,9151,1.0333000318496488E-5,
9201,0.03325774893164635,9201,1.0667000424291473E-5,
9251,0.03294966742396355,9251,1.0458000360813458E-5,
9301,0.03359699994325638,9301,1.0208000276179519E-5,
9351,0.03428399935364723,9351,1.0124999789695721E-5,
9401,0.0348532497882843,9401,1.0458999895490706E-5,
9451,0.034979041665792465,9451,1.0124999789695721E-5,
9501,0.03567308560013771,9501,1.1084000107075553E-5,
9551,0.035823460668325424,9551,1.1084000107075553E-5,
9601,0.036486998200416565,9601,1.1209000149392523E-5,
9651,0.03655533120036125,9651,1.1000000085914508E-5,
9701,0.03722608461976051,9701,1.1000000085914508E-5,
9751,0.03736596181988716,9751,1.037499987432966E-5,
9801,0.03780887648463249,9801,1.1375000212865416E-5,
9851,0.03803903982043266,9851,1.2208999578433577E-5,
9901,0.03968749940395355,9901,1.1332999747537542E-5,
9951,0.03869196027517319,9951,1.1541999811015557E-5,
